GRB	Time [UT]	Trigger Number	BAT RA (J2000)	BAT Dec (J2000)
180205A	04:25:29.3	808625	126.819	11.536
180204A	02:36:16	808483	330.123	30.852
180115A	04:16:03	805318	12.040	-15.632
180113A	02:47:06	804999	19.211	68.682
180111A	16:42:06	804692	149.782	48.254
180103A	01:08:30	803066	159.585	-53.555
180102A	15:49:44	802999	203.078	62.161
171222A	16:24:59	799669	148.273	35.624
171216A	03:06:59	797441	212.013	-50.500
171212A	11:57:21	796778	293.920	20.597
171211A	09:27:32	796469	98.154	-58.689
171209A	14:46:16	796100	139.387	-30.523
171205A	07:20:43	794972	167.423	-12.599
171123A	14:14:47	791922	186.198	32.503
171120A	13:20:02	791201	163.774	22.461
171115A	18:51:20	790053	278.392	9.118
171103A	23:10:32	785850	249.510	-10.206
171102B	15:20:29	785510	288.096	22.434
171027A	08:23:06	783479	61.683	-2.601
171020A	23:07:10	780845	39.260	15.199
171011A	18:32:47	778154	236.766	-10.064
171010B	20:59:24.168	778019|Ground Analysis	34.123	-54.410
171007A	11:57:38	777215	135.635	42.930
171004A	07:55:32	776347	139.150	52.684
171001A	18:25:40	775553	22.080	-11.928
170921A	14:28:48	773509	26.840	30.880
170912B	06:33:46	772052	215.464	-61.997
170912A	01:34:16	772006	167.386	-54.343
170906C	07:26:17	770981	128.659	70.805
170906B	00:55:46	770958	232.221	-28.251
170906A	00:43:11	770957	203.949	-47.088
170903A	12:49:07	770528	254.532	34.985
170827A	05:12:28	769567	276.189	-40.202
170823A	22:16:48	769177	188.713	35.549
170822A	09:11:51	768939	94.375	55.000
170813A	01:13:16	767563	201.057	-5.527
170810A	22:01:41	767284	187.928	3.664
170807A	21:56:09	766821	143.434	-17.348
170804A	12:01:37	766194	6.404	-64.781
170803A	17:30:27	766081	174.947	-16.312
170728B	23:03:19	765130	238.019	70.111
170728A	06:53:28	765008	58.901	12.169
170724A	00:48:44	764204	150.057	-1.025
170714A	12:25:32	762535	34.322	1.962
170711A	22:20:25	761622	45.782	47.845
170710B	08:10:06.251	Ground Analysis	43.122	42.679
170710A	00:45:44	761119	231.851	-38.523
170705A	02:45:47	760064	191.708	18.298
170629A	12:53:33	759159	129.963	-46.585
170626A	09:37:23	758766	165.409	56.479
170607A	23:21:33	756284	7.358	9.225
170604A	19:08:50	755867	342.645	-15.406
170531B	22:02:09	755354	286.901	-16.414
170531A	20:07:32	755343	121.218	-14.017
170526A	13:35:08	754549	4.723	1.277
170524B	10:40:40	754265	90.864	-17.086
170524A	19:49:15	754322	319.488	48.603
170519A	05:10:02	753445	163.429	25.374
170516A	12:49:20	753110	41.543	-55.929
170428A	09:13:42	750298	330.051	26.913
170419B	21:33:46	748947	60.494	-15.121
170419A	13:26:40	748898	79.854	-21.433
170405A	18:39:48	745797	219.824	-25.236
170331A	01:40:46	744791	323.778	-24.406
170330A	22:29:51	744773	283.331	-13.458
170325A	07:56:57.95	Ground Analysis	127.483	20.526
170318B	15:27:52	743086	284.229	6.335
170318A	12:11:56	743065	305.662	28.408
170317A	09:45:59	742866	93.087	50.500
170311A	08:08:42	741965	280.539	-30.041
170307A	20:24:21	741528	13.510	9.538
170306A	07:06:12	741220	263.087	-44.765
170208B	22:33:38	737463	127.145	-9.027
170208A	18:11:16	737438	166.544	-46.786
170206B	21:57:25	737125	271.784	11.175
170205A	12:39:09	736843	262.157	-0.058
170203A	00:03:41	736432	332.861	25.186
170202A	18:28:02	736407	152.526	5.021
170131A	23:15:13	736107|Ground Analysis	341.447	64.006
170127B	15:13:28	735331	19.997	-30.340
170127A	14:21:15	735326	174.382	-45.827
170126A	11:30:42	735188	263.623	-64.755
170115A	20:50:08	733103	332.145	13.750
170113A	10:04:05	732526	61.735	-71.933
170112A	02:02:00	732188	15.232	-17.233
170111A	00:33:28	731887	20.688	-32.541
170101A	02:26:01	729293	267.089	11.642
161224A	22:13:34.64	728268	204.820	-18.028
161220A	08:33:30	727610	350.841	-47.480
161219B	18:48:39	727541	91.717	-26.801
161218A	03:47:36	727288	245.250	-4.113
161217A	01:27:34	727167	150.658	52.344
161214B	17:20:10	726885	3.857	7.342
161202A	23:12:52	725036	356.904	19.652
161129A	07:11:39	724438	316.221	32.137
161117B	09:49:43	722642	298.830	-67.681
161117A	01:35:36	722604	322.053	-29.612
161113A	17:30:26	722063	179.794	-5.316
161108A	03:32:33	721234	180.776	24.905
161105A	04:53:02	720697	120.198	-44.763
161104A	09:42:26	720568	77.906	-51.447
161022A	02:43:40	718655	128.988	54.366
161017A	17:51:51	718023	142.770	43.125
161014A	12:31:22	717500	332.626	7.467
161011A	05:54:54	716876	245.687	8.313
161007A	21:25:43	716127	103.408	23.289
161004B	23:07:59	715246	112.156	-39.896
161004A	12:58:28	715084	263.127	-0.947
161001A	01:05:16	714404	71.923	-57.261
160927A	18:04:49	713782	256.268	17.334
160917A	11:30:19	712505	295.652	46.400
160912A	16:07:43	711914	301.595	57.585
160905A	11:18:58	711084	162.249	-50.803
160827A	15:46:45	710050	179.274	-29.178
160826A	06:12:38	709907	183.120	-67.664
160824A	23:22:25	709765	80.087	40.039
160821B	22:29:13	709357	280.005	62.387
160821A	20:34:30	709351	171.254	42.345
160815A	11:45:11	708598	288.616	84.298
160804A	01:32:47	707231	221.652	10.002
160801A	09:28:30	706871	212.763	13.485
160726A	01:34:07	706052	98.809	-6.617
160716A	01:08:30	704572	190.502	-61.364
160714A	02:19:15	704310	234.490	63.809
160712A	19:53:36	704155	304.166	-26.965
160709A	19:49:03.464	Ground Analysis	235.996	-28.188
160705B	21:02:07	703176	168.107	46.707
160703A	12:10:05	702699	287.414	36.913
160630A	04:04:09	702252	198.238	-56.029
160625A	22:40:31	701503	176.939	-65.142
160624A	11:27:01	701288	330.210	29.667
160612A	20:12:48	Ground Analysis	348.364	-25.375
160611A	21:40:34	690598	164.417	-70.396
160607A	11:14:00	689597	13.661	-4.952
160601A	14:43:02	688452	234.923	64.532
160525B	09:25:07	687522	149.438	51.197
160525A	01:33:59	687492	103.575	-0.199
160519A	00:17:33	686818	71.122	31.246
160506A	03:29:15	685245	265.857	-46.127
160504A	19:30:37	685124	170.073	56.002
160501A	00:40:31	684679	286.389	-17.249
160425A	23:26:11	684098	280.339	-54.343
160424A	11:49:07	683906	319.482	-60.408
160419A	15:16:37	683383	16.418	-27.341
160417A	04:23:41	683076	120.260	7.646
160412A	04:23:54	682522	33.074	-67.636
160411A	01:28:51	682339	349.370	-40.258
160410A	05:09:48	682269	150.695	3.461
160409A	05:54:14	682162|Ground Analysis	289.705	-5.390
160408A	06:25:43	682059	122.561	71.128
160327A	09:16:07	680655	146.698	54.018
160325A	07:00:03	680436	15.697	-72.702
160321A	15:55:27	680017	99.420	5.753
160314A	11:32:51	679120	112.766	17.024
160313A	02:37:15	678929	183.821	57.278
160303A	10:54:42	677495	168.710	22.710
160228A	17:34:32	676595	107.311	26.946
160227A	19:32:08	676423	195.034	78.672
160225A	14:20:56	675998	164.217	53.659
160223A	01:44:25	675361	147.603	9.369
160220B	11:10:53	674734	259.851	-18.123
160220A	01:25:25	674670	236.942	-18.539
160216A	19:10:31	673978	311.679	-71.550
160203A	02:13:10	672525	161.967	-24.772
160131A	08:20:31	672236	78.170	-7.037
160127A	08:43:07	671828	225.966	0.080
160123A	08:58:20	671447	150.277	-33.790
160121A	13:50:37	671231	109.080	-23.590
160119A	03:06:08	671014	211.916	20.453
160117B	13:59:27	670800	132.190	-16.340
160117A	10:13:39	670793	20.367	-0.677
160104A	11:24:10	669319	76.808	11.334
151229A	06:50:27	668689	329.363	-20.732
151228B	22:47:14	668641	344.431	8.081
151228A	03:05:12	668543	214.017	-17.665
151215A	03:01:28	667392	93.622	35.529
151210A	03:12:56	666931	65.080	-71.225
151205B	21:43:14	666378	41.190	-43.461
151205A	15:46:00	666352	229.291	35.767
151127A	09:08:49	665268	19.664	-82.762
151122A	17:00:40	664653|Ground Analysis	299.704	-19.899
151118A	03:06:30	664078	57.169	65.889
151114A	09:59:34	663490	120.947	-61.033
151112A	13:44:48	663179	2.050	-61.680
151111A	08:33:23	663074	56.850	-44.154
151107A	17:19:36	662757	217.139	-59.680
151031A	05:50:30	662330	83.189	-39.125
151029A	07:49:39	662086	38.537	-35.356
151027B	22:40:40	661869	76.188	-6.428
151027A	03:58:24	661775	272.498	61.361
151023A	13:43:04	661253	271.012	-8.289
151022A	14:06:32	661036	349.223	55.812
151021A	01:29:12	660671	337.647	-33.189
151006A	09:55:01	657750	147.426	70.508
151004A	18:09:04	657564	213.613	-64.956
151001B	18:29:36	657321	336.974	64.637
151001A	15:04:22	657286	233.722	10.984
150925A	04:09:28	656604	227.538	-19.640
150915A	21:18:24	655721	319.675	-34.874
150911A	18:40:21	655262	67.428	5.731
150910A	09:04:48	655097	5.677	33.466
150907B	23:26:27	654803	255.265	-63.798
150901A	15:26:35	654042	183.609	25.076
150831B	22:19:27	653978	271.030	-27.243
150831A	10:34:12	653838	221.034	-25.619
150821A	09:44:00	652847	341.913	-57.883
150819A	00:50:08	652643	42.340	9.787
150818A	11:36:32	652603	230.340	68.342
150817A	02:05:13	652334	249.635	-12.050
150811A	04:06:09	651882	291.347	-15.434
150801B	22:41:48	650977	82.961	-5.374
150728A	12:51:11	650617	292.271	33.906
150727A	19:02:02	650530	203.968	-18.320
150724A	05:46:35	650141	97.549	-19.147
150722A	09:57:53	649916	218.297	-35.196
150720A	14:02:09	649706	119.577	-28.281
150716A	07:06:43	649157	278.481	-12.978
150711A	18:23:03	648601	221.624	-35.464
150710B	08:05:35	Ground Analysis|20542	83.191	-46.960
150710A	00:28:02	648437	194.484	14.309
150626B	20:22:52	646786	187.627	66.794
150626A	02:12:49	646603	111.353	-37.803
150616A	22:49:19	644259	314.713	-53.403
150615A	04:42:27	643833	107.554	-22.466
150607A	07:55:09	642620	140.015	68.436
150530B	13:28:38	Ground Analysis|20522	7.496	44.290
150530A	11:42:18	642018	327.511	57.519
150527A	06:48:55	641698	288.962	4.195
150513A	20:31:19	640584	49.044	-22.868
150430A	00:21:28	639433	326.481	-27.919
150428B	03:12:03	639278	292.661	4.114
150428A	01:30:40	639275	188.539	6.967
150424A	07:42:57	638946	152.305	-26.646
150423A	06:28:04	638808	221.601	12.264
150413A	13:54:58	637899	190.396	71.839
150407A	00:31:10	637342	216.603	38.541
150403A	21:54:16	637044	311.505	-62.706
150402A	00:37:46	636865|Ground Analysis|20486	173.658	40.992
150323C	17:05:21	636005	192.625	50.165
150323B	09:28:38	635929|Ground Analysis|20485	260.447	38.316
150323A	02:49:14	635887	128.173	45.442
150318A	07:04:53	635289	324.990	-61.461
150317A	04:22:42	635148	138.995	55.477
150314A	04:55:16	634795	126.661	63.839
150309A	23:03:06	634200	277.004	86.417
150302A	05:42:36	633237	175.515	36.852
150301B	19:38:04	633180	89.159	-57.969
150301A	01:04:28	632995	244.281	-48.732
150222A	16:56:40	632180	198.787	-12.151
150213B	22:31:30	631051	253.448	34.165
150212A	10:57:19	630876	285.497	47.389
150211A	11:52:11	630714	254.846	55.390
150206A	14:30:02	630019	10.076	-63.181
150204A	06:31:08	Ground Analysis|20477	160.241	-64.043
150203A	04:09:07	629578	98.394	6.952
150202A	23:10:02	629547	39.261	-33.132
150201A	13:46:59	629302	11.820	-37.620
150120B	07:21:55	627170	39.309	8.064
150120A	02:57:46	627137	10.330	33.980
150110B	22:08:30	624606	289.374	32.529
150103A	20:02:18	623368	131.674	-48.896
150101B	15:23:00	Ground Analysis|20464	188.044	-10.956
150101A	06:28:53	623158	312.599	36.669
141229A	11:49:02	Ground Analysis|20455	n/a	n/a
141225A	23:01:07	622476	138.754	33.774
141221A	08:07:10	622006	198.283	8.197
141220A	06:02:52	621915	195.058	32.146
141212B	13:23:48	621234	250.866	31.749
141212A	12:14:01	621229	39.167	18.163
141205A	08:05:17	620534|Ground Analysis|20444	92.859	37.876
141130A	23:10:56	620090	222.804	47.323
141121A	03:50:43	619182	122.665	22.206
141109B	07:47:39	618032	222.453	73.141
141109A	05:49:55	618024	144.563	-0.581
141102A	12:51:40	617313|Ground Analysis	208.614	-47.100
141031B	14:56:45	617149	356.883	41.355
141031A	07:18:26	617110	128.632	-59.160
141026A	02:36:51	616502	44.049	26.925
141022A	01:27:42	616061	241.930	-72.152
141020A	07:48:39	615873	225.054	55.328
141017A	18:25:28	615672	93.601	-58.596
141015A	09:12:59	615399	87.535	18.370
141005A	05:13:06	614415	291.103	36.098
141004A	23:20:54	614390	76.721	12.828
140930B	19:41:42	614094	6.360	24.298
140927A	05:15:11	613775	291.802	-65.400
140919A	15:15:15	613160	221.540	-32.153
140916A	10:43:47	612804	40.384	-39.688
140909A	06:56:51	Ground Analysis|20417	193.638	63.494
140907A	16:07:08	611933	48.133	46.596
140903A	15:00:30	611599	238.021	27.608
140901B	06:17:24	611389|Ground Analysis|20416	112.184	-29.209
140828A	06:54:14	610953	142.029	14.569
140824A	08:40:28	610501	206.627	33.285
140818B	18:44:16	609885	271.168	-1.354
140817A	07:02:01	609736	127.244	58.191
140730A	19:43:51	607742	56.350	-66.580
140719B	20:49:35.68	605700	39.731	-2.384
140719A	05:53:55.2	605612	171.571	-50.115
140716A	10:27:57.3	604792|Ground Analysis|20390	108.133	-60.150
140713A	18:43:45	604232	281.141	59.623
140710A	10:16:40	603954	41.088	35.499
140709B	15:15:45	603866	146.040	63.536
140709A	01:13:41	603810	304.666	51.222
140706A	19:33:33	603587	49.269	-38.058
140703A	00:37:17	603243	13.010	45.102
140629A	14:17:30	602884	249.017	41.897
140628A	13:35:37	602803	40.672	-0.378
140626A	00:33:01	602604	77.163	-82.625
140622A	09:36:04	602278	317.153	-14.412
140619A	11:38:35	602080	27.096	-39.249
140614C	20:06:56	Ground Analysis	147.423	71.945
140614B	06:38:11	601662	322.636	14.895
140614A	01:04:59	601646	231.171	-79.110
140611A	03:51:04	Ground Analysis|20385	349.939	-40.111
140610A	16:31:29	601259	286.261	3.899
140607A	17:13:31	601051	86.373	18.904
140606A	10:58:13	600951	201.799	37.599
140529A	09:28:06	Ground Analysis|20383	228.810	-41.042
140521A	17:34:18	599546	320.177	67.587
140518A	09:17:46	599287	227.231	42.396
140516A	20:30:54	599188	252.972	39.958
140515A	09:12:36	599037	186.071	15.099
140512A	19:31:49	598819	289.366	-15.087
140509A	02:22:13	598497	46.564	-62.662
140506A	21:07:36	598284	276.806	-55.556
140502A	08:30:20	597841	319.172	48.975
140430A	20:33:36	597722	102.942	23.033
140428A	22:40:50	597519	194.365	28.331
140423A	08:31:53	596901	197.276	49.838
140419A	04:06:51	596426	127.001	46.234
140414A	06:06:29	Ground Analysis|20375	195.310	56.902
140413A	00:09:40	595616	65.439	-51.188
140412A	22:20:49	595608	145.032	-65.826
140408A	13:15:54	595141	290.723	-12.585
140402A	00:10:06	594308	207.592	5.971
140331A	05:49:48	594081	134.860	2.755
140323A	10:23:11	592916	356.975	-79.916
140320A	02:12:45	592544	281.843	-11.188
140318A	00:09:07	592204	184.049	20.225
140311B	21:14:29	591392	252.333	52.733
140311A	21:05:16	591390	209.293	0.607
140305A	15:00:20	590446	344.497	15.448
140304A	13:22:31	590206	30.653	33.480
140302A	08:12:58	589685	253.862	-12.875
140301A	15:24:49	589590	69.521	-34.249
140215A	04:07:10	586680	104.129	41.787
140213A	19:21:37	586569	105.166	-73.136
140211A	12:23:03	586289	124.233	20.237
140209A	07:30:57	586071	81.328	32.488
140206A	07:17:20	585834	145.321	66.762
140129B	12:51:09	585149	326.764	26.215
140129A	03:23:59	585128	37.851	-1.594
140118A	01:32:02	584136	330.999	-17.937
140114A	11:57:40	583861	188.498	27.942
140108A	17:18:42	583338	325.129	58.749
140103A	00:30:43	582773	232.114	37.752
140102A	21:17:37	582760	211.915	1.332
131229A	06:39:24	582374	85.236	-4.401
131227A	04:44:51	582184	67.369	28.879
131226A	05:47:39	582123	301.309	-64.943
131224B	03:25:08	Ground Analysis	163.722	-14.177
131205A	09:18:38	580267	131.573	-60.181
131202A	15:12:09	579982	344.005	-21.650
131128A	15:06:24	579683	355.305	31.293
131127A	10:11:35	579571	332.714	36.596
131120A	14:37:56	578227	278.937	-12.026
131117A	00:34:04	577968	332.354	-31.761
131110A	11:53:11	Ground Analysis|20327	69.268	-17.259
131105A	02:04:44	576738	70.973	-63.005
131103A	22:07:25	576562	348.948	-44.645
131031A	11:33:31	576277|Ground Analysis|20317	29.618	-1.603
131030A	20:56:18	576238	345.074	-5.380
131024B	21:35:31	575754	144.464	44.284
131024A	12:26:20	575707	290.544	-64.599
131018A	12:47:48	574935	98.473	-19.897
131004A	21:41:03	573190	296.108	-2.952
131002B	10:54:28	572742	75.135	-75.701
131002A	06:54:21	572721	253.103	82.036
131001A	05:37:24	Ground Analysis|20297	8.304	25.557
130929A	09:36:33	572308	135.028	-47.554
130925A	04:11:24	571830	41.186	-26.146
130919A	11:07:24	571271	207.281	-10.353
130913A	00:28:21	570531|Ground Analysis	341.960	1.294
130912A	08:34:57	570465	47.606	13.999
130907A	21:41:13	569992	215.898	45.602
130831B	13:48:19	568855	192.454	-29.187
130831A	13:04:16	568849	358.635	29.431
130829A	05:43:33	568417	182.426	46.520
130822A	15:54:17	567163	27.940	-3.219
130816B	04:53:38	566561	170.049	-57.527
130816A	01:46:55	566545	197.093	-58.996
130812A	22:22:52	566228	92.387	-13.285
130807A	10:25:43	565651	269.801	-27.616
130806A	02:51:33	565562	35.907	67.525
130803A	10:02:52	565263	220.256	-2.499
130727A	16:45:19.52	564342	330.790	-65.540
130725B	17:39:28	564028	214.233	-11.124
130725A	11:37:11	563980	230.060	0.624
130722A	08:19:19	563213	260.670	-2.979
130719A	05:47:49	562625	89.038	-11.591
130716A	10:36:53	561974	179.581	63.057
130708A	11:43:03.7	560515|Ground Analysis|20286	17.474	0.003
130701A	04:17:43	559482	357.224	36.100
130627B	12:00:50	559139	181.914	-55.706
130627A	08:55:03	559132	184.415	-37.114
130626A	10:51:03	559075	273.128	-9.525
130625A	07:00:39	558982	343.336	82.171
130623A	11:42:44.7	Ground Analysis|20284	20.723	-77.784
130615A	09:44:45	558271	274.963	-68.161
130612A	03:22:22	557976	259.771	16.729
130610A	03:12:13	557845	224.414	28.187
130609B	21:38:40	557828	53.776	-40.168
130609A	03:05:08	557782	152.680	24.124
130608A	23:14:21	557771	24.597	41.492
130606A	21:04:39	557589	249.390	29.796
130605A	23:41:42	557508	134.536	-33.477
130604A	06:54:26	557354	250.166	68.225
130603B	15:49:14	557310	172.222	17.063
130603A	05:59:32	557274	86.859	82.910
130529A	11:15:25	556930	24.274	-64.143
130528A	16:41:23	556870	139.405	87.300
130527A	14:21:30	556753	309.282	-24.726
130521A	22:49:16	556344	87.568	14.470
130518B	10:50:38	556105|Ground Analysis|20282	321.555	-20.148
130518A	13:55:07.4	556113	355.671	47.478
130515A	01:21:17	555880	283.436	-54.283
130514A	07:13:41	555821	296.278	-7.974
130511A	11:30:47	555600	196.654	18.709
130508A	17:08:53	555413	305.351	34.966
130505A	08:22:28	555163	137.060	17.485
130504A	02:05:34	555096	272.459	-16.320
130502A	17:50:30	554996	138.579	-0.134
130427B	13:20:41	554635	314.900	-22.548
130427A	07:47:57	554620	173.150	27.706
130420B	12:56:31	553996	183.095	54.376
130420A	07:28:29	553977	196.118	59.421
130419A	13:30:29	553918	355.278	9.900
130418A	19:00:53	553847	149.045	13.674
130408A	21:51:38	553132	134.398	-32.363
130327A	01:47:34	552063	91.984	55.732
130315A	12:45:32	551126	157.541	-51.794
130313A	16:08:11	550906	236.438	-0.355
130306A	23:51:01	550457	279.475	-11.682
130305A	11:39:16	550329|Ground Analysis|20234	116.774	52.037
130216B	18:58:12	548918|Ground Analysis|20233	58.866	2.036
130216A	22:15:24	548927	67.901	14.670
130215A	01:31:30	548760	43.486	13.387
130211A	03:36:32	548276	147.524	-42.330
130206A	19:36:28	547918	140.387	-58.193
130131B	19:10:08	547420	173.957	15.033
130131A	13:56:22	547407	171.091	48.064
130122A	23:44:09	546731	194.307	59.003
130102A	18:10:53	544784	311.435	49.838
121229A	05:00:21	544347	190.095	-50.588
121226A	19:09:43	544027	168.620	-30.413
121217A	07:17:47	542441	153.708	-62.354
121212A	06:56:13	541371	177.787	78.052
121211A	13:47:02	541200	195.575	30.173
121209A	21:59:11	540964	326.800	-8.232
121202A	04:20:05	540255	256.790	23.942
121201A	12:25:42	540178	13.473	-42.929
121128A	05:05:37	539866	300.589	54.301
121125A	08:32:27	539563	228.519	55.318
121123A	10:02:41	539358	307.334	-11.873
121117A	08:50:56	538696	31.617	7.432
121108A	17:47:39	537921	83.216	54.520
121102A	02:27:02	537266	270.896	-16.951
121031A	22:50:30	537195	170.772	-3.513
121028A	05:04:31	536897	271.903	-2.298
121027A	07:32:29	536831	63.598	-58.839
121024A	02:56:12	536580	70.481	-12.255
121017A	19:23:28	536172	288.820	-1.602
121014A	20:11:56	535960	166.645	-29.105
121011A	11:15:30	535764	260.204	41.123
121001A	18:23:02	535026	276.029	-5.667
120927A	22:40:46	534815	136.606	0.420
120923A	05:16:06	534402	303.781	6.255
120922A	22:30:28	534394	234.758	-20.181
120918A	11:16:10	534015	181.042	-32.762
120913B	23:55:58	533613	213.660	-14.508
120913A	20:18:21	533568	146.400	26.959
120911A	07:08:33	533268	357.966	63.090
120909A	01:42:03	533060	275.735	-59.432
120907A	00:24:23	532871	74.736	-9.323
120819A	13:10:14	531428	235.887	-7.304
120817B	04:02:29	531259|Ground Analysis|20226	8.310	-26.428
120817A	06:49:42	531267	250.692	-38.377
120816A	19:18:34	531223	282.133	-6.981
120815A	02:13:58	531003	273.976	-52.125
120811C	15:34:52	530689	199.690	62.297
120811A	02:35:18	530581	257.184	-22.735
120807A	07:09:37	530267	241.273	-47.455
120805A	21:28:09	530031	216.536	5.853
120804A	00:54:14	529686	233.951	-28.768
120803B	11:06:06	529606	314.223	53.298
120803A	07:22:16	529582	269.531	-6.733
120802A	08:00:51	529486	44.833	13.762
120729A	10:56:14	529095	13.078	49.936
120728A	22:25:11	529021	137.085	-54.437
120724A	06:39:02	528443	245.193	3.535
120722A	12:53:26	528195	230.489	13.249
120714B	21:18:46.57	526642	355.412	-46.196
120714A	07:46:46	526593	167.975	-30.625
120712A	13:42:27	526351	169.598	-20.051
120711B	03:11:02.58	526270	331.710	59.996
120703A	17:25:22	525671	339.353	-29.726
120701A	n/a	525477	80.338	-58.531
120630A	n/a	525451	352.300	42.495
120624B	22:19:51	525068	170.886	8.933
120612A	02:05:19	524128	126.723	-17.598
120521C	23:22:07	522656	214.288	42.144
120521B	09:07:48	522586	197.016	-52.742
120521A	05:59:42	522578	148.692	-49.422
120514A	01:12:49	522197	283.002	-4.258
120422A	07:12:03	520658	136.915	13.974
120404A	12:51:02	519380	235.002	12.883
120403B	20:33:56	519256	54.302	-89.029
120403A	01:05:23	519211	42.458	40.489
120401A	05:24:15	519043	58.057	-17.658
120328A	03:06:19	518792	241.607	-39.322
120327A	02:55:16	518731	246.854	-29.415
120326A	01:20:29	518626	273.906	69.248
120324A	05:59:11	518507	291.081	24.140
120320A	11:56:15	518200	212.517	8.682
120312A	16:06:28	517566	251.812	23.881
120311B	15:08:10	517489	258.551	-13.068
120311A	05:33:38	517469	273.075	14.297
120308A	06:13:38	517234	219.123	79.674
120305A	19:37:30	516997	47.549	28.495
120302A	01:55:39	Ground Analysis|20214	122.426	29.642
120229A	14:35:11	516571	20.033	-35.796
120224A	04:39:56	515976	40.937	-17.779
120219A	14:30:08	515375	129.862	51.006
120218A	00:49:22	515277	319.7641	-25.4626
120215A	00:41:15	515015	30.057	8.790
120213A	00:27:19	514767	300.987	65.413
120212A	09:11:22	514709	43.086	-18.043
120211A	11:58:28	514586	87.781	-24.795
120121A	09:42:19	512164	249.363	-23.963
120119A	04:04:30.21	512035	120.029	-9.076
120118B	17:00:21	512003	124.862	-7.178
120116A	18:06:28	511866	16.240	33.927
120114A	16:20:09	511739|Ground Analysis	317.9043	57.0358
120106A	14:16:24	511235	66.129	64.050
120102A	02:15:55	510922	276.224	24.713
111229A	22:37:52	510736	76.561	-84.687
111228A	15:44:43	510649	150.063	18.284
111225A	03:50:37	510341	13.158	51.573
111215A	14:04:08	509717	349.582	32.440
111212A	09:23:07	509543	310.442	-68.585
111210A	14:37:03	509419	191.493	-7.173
111209A	07:12:08	509336	14.350	-46.799
111208A	08:28:11	509285|Ground Analysis|20190	290.2151	40.6686
111207A	14:16:59	Ground Analysis|20191	92.924	-39.504
111204A	13:37:28	509018	336.651	-31.414
111201A	14:22:45	508800|Ground Analysis|20188	190.4854	32.9935
111129A	16:18:14	508712	307.415	-52.722
111126A	18:57:42	Ground Analysis	276.057	51.461
111123A	18:13:21	508319	154.845	-20.639
111121A	16:26:24	508161	154.746	-46.670
111117A	12:13:41	507901	12.702	23.021
111109A	02:57:46	507342	118.248	-41.588
111107A	00:50:24	507185	129.487	-66.520
111103B	10:59:03	506903	265.691	1.605
111103A	10:35:13	506902	327.111	-10.532
111029A	09:44:40	506519	44.785	57.101
111026A	06:47:29	506291	244.256	-47.435
111022B	17:13:04	506074	108.927	49.663
111022A	16:07:04	506070	275.871	-23.666
111020A	06:33:49	505926	287.029	-38.031
111018A	17:26:24	505801	271.482	-3.880
111016A	18:37:04	505646	153.826	27.474
111008A	22:12:58	505054	60.439	-32.708
111005A	08:05:14	504779	223.315	-19.722
110928A	01:51:31	504215	257.745	36.547
110921A	13:51:20	503652	294.094	36.355
110915A	13:20:44	503219	310.830	-0.713
110827A	00:01:52	501520	164.059	53.817
110820A	17:38:27	501095	343.203	70.298
110818A	20:37:49	500914	317.373	-63.981
110808A	06:18:54	458918	57.322	-44.177
110801A	19:49:42	458521	89.415	80.958
110731A	11:09:30	458448	280.513	-28.536
